,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
10,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Cavatelli Bolognese'}),0.1782841153250387,0.11952231049817619,0.040923399790136414,0.22954035874439466,1.9204812707155394,0.019614470401364485,1.142795342358133
11,frozenset({'Cavatelli Bolognese'}),frozenset({'Bucatini Cacio e Pepe'}),0.11952231049817619,0.1782841153250387,0.040923399790136414,0.3423913043478261,1.9204812707155394,0.019614470401364485,1.2495514279354785
12,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Spicy Meatballs'}),0.1782841153250387,0.1681032328986159,0.05581372108129716,0.31306053811659196,1.86231122815705,0.025843584920688483,1.211019039174924
13,frozenset({'Spicy Meatballs'}),frozenset({'Bucatini Cacio e Pepe'}),0.1681032328986159,0.1782841153250387,0.05581372108129716,0.332020509771866,1.86231122815705,0.025843584920688483,1.2301513694594455
14,frozenset({'Spicy Meatballs'}),"frozenset({'Focaccia', 'Bucatini Cacio e Pepe'})",0.1681032328986159,0.10330784989756658,0.03217908359566282,0.19142453741547152,1.8529524872047554,0.014812700044076935,1.1089776917496963
15,"frozenset({'Focaccia', 'Bucatini Cacio e Pepe'})",frozenset({'Spicy Meatballs'}),0.10330784989756658,0.1681032328986159,0.03217908359566282,0.31148730350665055,1.8529524872047551,0.014812700044076935,1.2082518903983925
16,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Pomodoro'}),0.1782841153250387,0.10879178533952931,0.03511467546095038,0.1969590807174888,1.8104223595816298,0.01571882825706088,1.109791784280101
17,frozenset({'Pomodoro'}),frozenset({'Bucatini Cacio e Pepe'}),0.10879178533952931,0.1782841153250387,0.03511467546095038,0.32276954874267993,1.8104223595816296,0.01571882825706088,1.2133475143496502
18,frozenset({'Spicy Meatballs'}),frozenset({'Ricotta Pillows'}),0.1681032328986159,0.1251311647429171,0.03750062459401389,0.22308092442594932,1.7827766958316955,0.016465671264360222,1.1260745974227226
19,frozenset({'Ricotta Pillows'}),frozenset({'Spicy Meatballs'}),0.1251311647429171,0.1681032328986159,0.03750062459401389,0.2996905261056204,1.7827766958316955,0.016465671264360222,1.1878987763442002
20,frozenset({'Little Gem Salad'}),frozenset({'Bucatini Cacio e Pepe'}),0.11416329385899165,0.1782841153250387,0.034852345975116175,0.3052850421271474,1.7123513307428817,0.014498844126873422,1.182810122860997
21,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Little Gem Salad'}),0.1782841153250387,0.11416329385899165,0.034852345975116175,0.195487668161435,1.7123513307428817,0.014498844126873422,1.1010853048288167
22,frozenset({'Spicy Meatballs'}),frozenset({'Little Gem Salad'}),0.1681032328986159,0.11416329385899165,0.03147953830010493,0.18726313442817863,1.6403094908900926,0.01228831952405373,1.0899428138008183
23,frozenset({'Little Gem Salad'}),frozenset({'Spicy Meatballs'}),0.11416329385899165,0.1681032328986159,0.03147953830010493,0.27574132837290727,1.6403094908900924,0.01228831952405373,1.1486183040549252
24,frozenset({'Spicy Meatballs'}),frozenset({'Bubbling Shrimp'}),0.1681032328986159,0.2004572028181682,0.05156648178683856,0.3067548487775879,1.5302760113630876,0.017868977935290943,1.1533334142647564
25,frozenset({'Bubbling Shrimp'}),frozenset({'Spicy Meatballs'}),0.2004572028181682,0.1681032328986159,0.05156648178683856,0.2572443447373341,1.5302760113630876,0.017868977935290943,1.1200140466210178
26,frozenset({'Focaccia'}),frozenset({'Burrata'}),0.3940438714835357,0.0828586418827762,0.04944286213960925,0.12547552624904895,1.514332402727102,0.01679292210625228,1.048731494252509
27,frozenset({'Burrata'}),frozenset({'Focaccia'}),0.0828586418827762,0.3940438714835357,0.04944286213960925,0.5967134026835519,1.5143324027271017,0.01679292210625228,1.5025446730653111
28,frozenset({'Bubbling Shrimp'}),frozenset({'Little Gem Salad'}),0.2004572028181682,0.11416329385899165,0.03450257332733723,0.17211939926466005,1.5076597165920305,0.011617718775855202,1.0700053913018261
29,frozenset({'Little Gem Salad'}),frozenset({'Bubbling Shrimp'}),0.11416329385899165,0.2004572028181682,0.03450257332733723,0.3022212495896706,1.5076597165920302,0.011617718775855202,1.1458399911313721
30,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Margherita'}),0.1782841153250387,0.12275770749013142,0.03282866137010943,0.18413677130044845,1.5000017112184287,0.010942912090901473,1.0752320507300623
31,frozenset({'Margherita'}),frozenset({'Bucatini Cacio e Pepe'}),0.12275770749013142,0.1782841153250387,0.03282866137010943,0.26742647807062175,1.5000017112184287,0.010942912090901473,1.1216838447980058
32,frozenset({'Focaccia'}),frozenset({'Pomodoro'}),0.3940438714835357,0.10879178533952931,0.06405836206465797,0.16256657367486685,1.4942908894041154,0.021189625783864074,1.0642138069067946
33,frozenset({'Pomodoro'}),frozenset({'Focaccia'}),0.10879178533952931,0.3940438714835357,0.06405836206465797,0.5888161671833735,1.4942908894041154,0.021189625783864074,1.473686658265816
34,frozenset({'Focaccia'}),frozenset({'Bucatini Cacio e Pepe'}),0.3940438714835357,0.1782841153250387,0.10330784989756658,0.26217347197565305,1.470537470473303,0.033056086870871165,1.113697940456603
35,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Focaccia'}),0.1782841153250387,0.3940438714835357,0.10330784989756658,0.5794562780269059,1.470537470473303,0.033056086870871165,1.4408873485816363
36,frozenset({'Bubbling Shrimp'}),frozenset({'Ricotta Pillows'}),0.2004572028181682,0.1251311647429171,0.036788587418178184,0.18352340001246337,1.4666482198061013,0.01170514414843363,1.0715173408159373
37,frozenset({'Ricotta Pillows'}),frozenset({'Bubbling Shrimp'}),0.1251311647429171,0.2004572028181682,0.036788587418178184,0.294000199660577,1.4666482198061013,0.01170514414843363,1.1324972001372184
38,frozenset({'Focaccia'}),"frozenset({'Bucatini Cacio e Pepe', 'Spicy Meatballs'})",0.3940438714835357,0.05581372108129716,0.03217908359566282,0.0816637078366726,1.463147524561619,0.010186028858886257,1.028148715210286
39,"frozenset({'Bucatini Cacio e Pepe', 'Spicy Meatballs'})",frozenset({'Focaccia'}),0.05581372108129716,0.3940438714835357,0.03217908359566282,0.576544315129812,1.463147524561619,0.010186028858886257,1.4309788489490287
40,frozenset({'Cavatelli Bolognese'}),frozenset({'Focaccia'}),0.11952231049817619,0.3940438714835357,0.06886773597161845,0.5761914715719064,1.4622520822430336,0.021770702014259867,1.429787481540205
41,frozenset({'Focaccia'}),frozenset({'Cavatelli Bolognese'}),0.3940438714835357,0.11952231049817619,0.06886773597161845,0.1747717474004565,1.4622520822430334,0.021770702014259867,1.066950491246803
42,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Bubbling Shrimp'}),0.1782841153250387,0.2004572028181682,0.05080447708989157,0.28496356502242154,1.4215681004034952,0.01506614202492259,1.1181846939127003
43,frozenset({'Bubbling Shrimp'}),frozenset({'Bucatini Cacio e Pepe'}),0.2004572028181682,0.1782841153250387,0.05080447708989157,0.25344301115473294,1.4215681004034952,0.01506614202492259,1.1006740234874044
44,frozenset({'Focaccia'}),frozenset({'Celebration Shot'}),0.3940438714835357,0.09139059611252685,0.05015489931544496,0.12728252599543494,1.392731105930366,0.014142995006076707,1.041126631415106
45,frozenset({'Celebration Shot'}),frozenset({'Focaccia'}),0.09139059611252685,0.3940438714835357,0.05015489931544496,0.5487971569163477,1.392731105930366,0.014142995006076707,1.3429794111561504
46,frozenset({'Wild Mushroom'}),frozenset({'Bubbling Shrimp'}),0.1345875181132264,0.2004572028181682,0.037425673312346974,0.2780768516799703,1.3872130697753464,0.010446635897130064,1.1075178833680968
47,frozenset({'Bubbling Shrimp'}),frozenset({'Wild Mushroom'}),0.2004572028181682,0.1345875181132264,0.037425673312346974,0.18670156415529382,1.3872130697753464,0.010446635897130064,1.064077396125742
48,frozenset({'Etta Old Fashioned'}),frozenset({'Focaccia'}),0.06934242742217558,0.3940438714835357,0.03717583570679059,0.5361196180868313,1.3605581938589595,0.009851877147290432,1.3062766871436482
49,frozenset({'Focaccia'}),frozenset({'Etta Old Fashioned'}),0.3940438714835357,0.06934242742217558,0.03717583570679059,0.09434440781131119,1.3605581938589595,0.009851877147290432,1.0276064992087264
50,frozenset({'Bubbling Shrimp'}),frozenset({'Etta Rita'}),0.2004572028181682,0.12764203267875882,0.03472742717233798,0.17324110425624728,1.357241816198973,0.009140662339528774,1.0551540138391464
51,frozenset({'Etta Rita'}),frozenset({'Bubbling Shrimp'}),0.12764203267875882,0.2004572028181682,0.03472742717233798,0.2720688980230965,1.3572418161989728,0.009140662339528774,1.0983770236090291
52,frozenset({'Cavatelli Bolognese'}),frozenset({'Bubbling Shrimp'}),0.11952231049817619,0.2004572028181682,0.03244141308149703,0.27142558528428096,1.3540325888438498,0.00848230504466805,1.0974071845410656
53,frozenset({'Bubbling Shrimp'}),frozenset({'Cavatelli Bolognese'}),0.2004572028181682,0.11952231049817619,0.03244141308149703,0.16183710350844394,1.3540325888438496,0.00848230504466805,1.0504851660547039
54,frozenset({'Focaccia'}),frozenset({'Broccolini'}),0.3940438714835357,0.09621246189976515,0.05091690401239195,0.12921633274156735,1.343031143680596,0.013004973040446316,1.037901343448151
55,frozenset({'Broccolini'}),frozenset({'Focaccia'}),0.09621246189976515,0.3940438714835357,0.05091690401239195,0.5292131913788627,1.343031143680596,0.013004973040446316,1.2871136519122472
56,frozenset({'Wild Mushroom'}),frozenset({'Bucatini Cacio e Pepe'}),0.1345875181132264,0.1782841153250387,0.031679408384550044,0.23538147391869318,1.3202604925826253,0.007684591783940854,1.0746743070512301
57,frozenset({'Bucatini Cacio e Pepe'}),frozenset({'Wild Mushroom'}),0.1782841153250387,0.1345875181132264,0.031679408384550044,0.17769058295964127,1.3202604925826251,0.007684591783940854,1.052417087720521
58,frozenset({'Wood-Fired Chicken'}),frozenset({'Focaccia'}),0.06498276120521661,0.3940438714835357,0.03334082846150002,0.5130718954248366,1.30206794866057,0.007734769656506359,1.2444468142687117
59,frozenset({'Focaccia'}),frozenset({'Wood-Fired Chicken'}),0.3940438714835357,0.06498276120521661,0.03334082846150002,0.08461197058077605,1.3020679486605697,0.007734769656506359,1.021443594131347
60,frozenset({'Focaccia'}),frozenset({'Margherita'}),0.3940438714835357,0.12275770749013142,0.06153500224853845,0.15616282018767436,1.2721223243781121,0.013163079934683644,1.0395871543666426
